Gene_Name	logFC	logCPM	PValue
PAC:17816625	0	3.2117346173740993	1
PAC:17816626	0.970304997224154	3.2702069149514985	1
PAC:17816627	-2.418198924721566	3.320101110877885	0.21839190455635546
PAC:17816628	0	3.2117346173740993	1
PAC:17816629	-0.5153284521234521	3.4791810188917256	0.7266315145983286
PAC:17816630	-0.7268369581531403	4.245558197085125	0.3346328093711352
PAC:17816631	0	3.2117346173740993	1
PAC:17816632	1.2198837767917239	3.6020991297252616	0.9536404394996842
PAC:17816633	-1.7614599788550054	3.9221938487347576	0.026455546068238207
PAC:17816635	-1.6713923619120816	3.2670029925171433	0.5000000000000385
PAC:17816636	0.9190523934209781	4.599202925556959	0.2364786993483447
PAC:17816637	0	3.2117346173740993	1
PAC:17816638	0.4439020424494306	4.915346230959071	0.4891790886131109
PAC:17816639	0.818777894275598	3.528740953137821	1
PAC:17816640	-0.12423016477227108	3.381883610355662	1
PAC:17816641	0.970304997224154	3.2702069149514985	1
PAC:17816642	-1.2820916165739569	11.04870053704781	0.0037168721839367556
PAC:17816643	0	3.2117346173740993	1
PAC:17816644	-0.9652403025873932	3.5240556888015537	0.34638629406445487
PAC:17816645	-0.5463160718779198	7.940553089764534	0.04078044235308381
PAC:17816646	-0.7063323144999107	3.86686237732155	0.4644079717456797
PAC:17816647	0.35431756394424907	3.442733278427397	1
PAC:17816648	1.0926713594718602	4.0546966086197544	0.41319490309405926
PAC:17816649	-0.15280814563895456	6.22060630441769	0.7085719308623201
PAC:17816650	-0.3825654192984946	5.413317948865837	0.396424317349693
PAC:17816651	0	3.2117346173740993	1
PAC:17816652	1.4735966472662343	3.3257900631102113	1
PAC:17816653	0	3.2117346173740993	1
PAC:17816654	0	3.2117346173740993	1
PAC:17816655	0.6063239979509082	3.878246339962599	0.6267926926881625
PAC:17816656	-1.1197688985415044	4.13026654236963	0.16134266640624131
PAC:17816657	-1.5450150279016228	3.6993826089265283	0.11951240841309567
PAC:17816658	0	3.2117346173740993	1
PAC:17816659	-1.0498685966492514	3.6975837331523778	0.3515269869173208
PAC:17816660	0	3.2117346173740993	1
PAC:17816661	0	3.2117346173740993	1
PAC:17816662	-0.6868826880999344	3.327753511540609	0.8572196789780834
PAC:17816663	-1.380823871021116	4.477932069370685	0.030219589785521386
PAC:17816664	-1.9926063520327202	3.8906005741514136	0.10916651448360053
PAC:17816665	2.274089935445132	3.435955904838768	0.6331758899344015
PAC:17816666	0.8640735841086956	3.536809470926777	1
PAC:17816667	0.9702851696221103	3.269620298482921	1
PAC:17816668	0	3.2117346173740993	1
PAC:17816669	0.4753522597947585	8.108962827514235	0.03905875525749798
PAC:17816670	-2.418199526907618	3.320101110877885	0.21836600153134114
PAC:17816672	1.114265665502992	7.526649264343495	2.980406014681017e-4
PAC:17816674	0	3.2117346173740993	1
PAC:17816686	0	3.2117346173740993	1
PAC:17816687	-1.6208695197263951	3.887534214115983	0.04210644297271392
PAC:17816688	0.9716819154997971	3.272524413061196	1
PAC:17816689	0	3.2117346173740993	1
PAC:17816690	0	3.2117346173740993	1
PAC:17816691	0.970304997224154	3.2702069149514985	1
PAC:17816692	-0.7010873646879278	3.323215456422852	0.8748923065805891
PAC:17816693	-1.044594703275386	3.701648086777025	0.3666749659643162
PAC:17816694	0	3.2117346173740993	1
PAC:17816695	1.55348824720974	5.325489489020829	0.1512970987877688
PAC:17816696	0.9937094941604856	3.5512564528577797	1
PAC:17816697	0.970295071742177	3.2699117472084214	1
PAC:17816698	-0.8762001180540434	3.435016922908453	0.5257813785965403
PAC:17816699	-0.6493620989627884	3.5686540129187994	0.9284082326827736
PAC:17816700	-1.6714341548468787	3.2674963427785184	0.5000000000000385
PAC:17816701	-0.7559811322458467	3.662307214967102	0.6513680260836152
PAC:17816702	0	3.2117346173740993	1
PAC:17816713	1.5451721505055003	3.325793790826785	1
PAC:17816714	0.5659446033898408	5.205124373578692	0.41004739190113904
PAC:17816715	-0.5737530039880208	3.700437006622116	0.7947390917729514
PAC:17816716	0.0368506011446262	4.383293657675327	1
PAC:17816718	-0.9719994026902766	3.5216190483834016	0.7342518404745018
PAC:17816719	0	3.2117346173740993	1
PAC:17816720	0	3.2117346173740993	1
PAC:17816721	0	3.2117346173740993	1
PAC:17816722	-0.7010990713563489	3.322944909515724	0.8748923065805891
PAC:17816723	-1.6714341548468787	3.2674963427785184	0.5000000000000385
PAC:17816724	0.26281161522658597	3.4335072866032523	1
PAC:17816725	0	3.2117346173740993	1
PAC:17816726	2.270616866591338	3.4390954048559306	0.6902977065686143
PAC:17816727	0	3.2117346173740993	1
PAC:17816728	-0.7011089734764155	3.322657592111569	0.8748923065805891
PAC:17816729	-1.9429584472849213	3.4286399423950806	0.12000761232311681
PAC:17816730	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816731	2.483744072975531	3.481289531802951	0.5667868778982394
PAC:17816732	-1.5892096770523862	5.258040029452115	4.1922080022242493e-4
PAC:17816733	1.504353383208321	4.226459514374477	0.21280293655392105
PAC:17816734	-0.18180423242645788	8.901604917147159	0.6901308540512406
PAC:17816735	0.2683299460767417	3.434280200269996	1
PAC:17816736	-2.473774323049012	3.651445917803273	0.02332336645226084
PAC:17816737	-1.0135004530184548	4.023223708431575	0.3030279639070486
PAC:17816738	-3.2850741812769675	3.4211816391989167	0.00949972006101355
PAC:17816739	1.1613848908992381	7.530416053845919	0.00611667928695982
PAC:17816740	1.5219089911655626	4.460168514305211	0.15590277473845593
PAC:17816741	2.0739893067964297	4.246915141693934	0.04901337322910885
PAC:17816742	1.5789514275435004	5.250962168932821	0.010875321545233038
PAC:17816743	0.26406692539818044	3.433716351400126	1
PAC:17816744	-2.917470148460964	3.3710961261762966	0.03145789320099335
PAC:17816745	-1.3790550638931554	3.5657920589886793	0.4468860976437915
PAC:17816746	-2.9175721363012697	3.3715535079385464	0.03146354838774
PAC:17816747	-0.1902292845435468	4.961257014946082	0.836672225399465
PAC:17816748	0.31803127620715516	4.99341534984009	0.6766332996841976
PAC:17816750	-0.1510507211643798	3.527036976136316	0.9319586133318422
PAC:17816751	-0.1263842015401363	3.3791365976464887	1
PAC:17816752	-0.5257039280391468	4.168679490019513	0.6329250200861619
PAC:17816753	2.9710559852900866	4.295422364440933	0.024597682760206303
PAC:17816754	0.970304997224154	3.2702069149514985	1
PAC:17816755	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816756	-0.18347335144889768	7.8664941770477554	0.5134253369743511
PAC:17816757	0.9714153094991503	3.2724960310882647	1
PAC:17816758	-0.6536745803989675	4.7408518695589805	0.27096331782099214
PAC:17816759	0	3.2117346173740993	1
PAC:17816760	0.7413817156798931	4.091206484877929	0.5596484579302373
PAC:17816761	-0.1648408428705727	3.6664877498178257	1
PAC:17816762	1.1691558575377645	6.6102486161213125	8.406334538243683e-4
PAC:17816763	1.1805719554641654	3.866990668986974	0.3427022061892214
PAC:17816764	-0.693140892966	3.3280446026737875	0.8573545114436986
PAC:17816765	0	3.2117346173740993	1
PAC:17816766	0	3.2117346173740993	1
PAC:17816767	1.0837117399261518	3.5853260863775893	0.9289909325491549
PAC:17816768	0	3.2117346173740993	1
PAC:17816769	-1.4546635093721973	3.3760456130761742	0.31266147829162927
PAC:17816770	-1.5395785943523022	3.9715155197472463	0.11373102240498359
PAC:17816771	0	3.2117346173740993	1
PAC:17816773	0.9716807868664263	3.272524413061196	1
PAC:17816774	-2.4250696513921493	3.320545414231999	0.1251076934194418
PAC:17816775	-1.4546510658467708	3.376435870574429	0.31266147829162927
PAC:17816776	1.1980961685942424	3.621036310345063	0.8717981436881156
PAC:17816779	6.02979369053691	5.186525158582102	1.2177633905877362e-6
PAC:17816780	0	3.2117346173740993	1
PAC:17816782	0	3.2117346173740993	1
PAC:17816783	1.6939473081431031	6.832227656974556	0.03839325567280694
PAC:17816784	0.295128289056503	3.4360728144654593	1
PAC:17816790	1.398049885467001	3.9497979807653745	0.25168607567504825
PAC:17816791	0.13909592591011508	7.521700185909413	0.8685957879981059
PAC:17816792	0.10507110239021439	4.327763342467356	1
PAC:17816793	0	3.2117346173740993	1
PAC:17816794	-1.2358213328025722	4.324852575860203	0.05329145642693367
PAC:17816795	0.20512870286766874	4.712528411592307	0.9530706685536173
PAC:17816796	0.20723420175861873	3.9054645351780612	1
PAC:17816797	0.11674089858127874	8.811845807041177	0.5898850895745764
PAC:17816798	-2.4171701116981663	3.320060109361876	0.22114119338186355
PAC:17816799	-0.3786694157301344	3.8483273006964427	0.821187803752136
PAC:17816800	0.5448577927212448	3.479787689473993	1
PAC:17816801	2.274098946559548	3.436208563389	0.6331758899344015
PAC:17816802	-1.2879680889856373	3.7440393000451957	0.17989150325036274
PAC:17816803	-0.2331916057770803	6.0367260038450725	0.6191115009250627
PAC:17816804	0	3.2117346173740993	1
PAC:17816805	0.6026975735330502	3.483108303992493	1
PAC:17816806	0.07185203308915189	3.9870822751497492	1
PAC:17816807	-0.8775252388605932	3.9123251061961906	0.38164137096179335
PAC:17816808	-1.9505936252848477	3.4231724474520786	0.11032975108261762
PAC:17816809	0	3.2117346173740993	1
PAC:17816810	-1.6714341548468787	3.2674963427785184	0.5000000000000385
PAC:17816811	-0.12621209575926634	3.377027359156339	1
PAC:17816812	0.3759710933442819	3.963451491495237	0.8397739546344064
PAC:17816813	1.0546471365054284	4.226386310047805	0.3052693605741366
PAC:17816814	-0.15510080586479005	10.886256971569486	0.41066856562321813
PAC:17816815	1.4830968912763125	3.3263725158076736	1
PAC:17816816	-2.8483593446307234	3.5654983799583224	0.009346872048544872
PAC:17816817	0.3206350943579483	3.624246793965414	1
PAC:17816818	0.9714138559797144	3.2724960310882647	1
PAC:17816819	0.16083209951662988	3.8866173835459197	1
PAC:17816820	-1.1045334677380283	3.8584162741774675	0.26070489176955386
PAC:17816821	0	3.2117346173740993	1
PAC:17816822	-1.3626781834937227	4.127228345448723	0.08905648845252769
PAC:17816824	-1.1135713342310427	4.315096004576522	0.1134666637994709
PAC:17816825	0.970304997224154	3.2702069149514985	1
PAC:17816826	0	3.2117346173740993	1
PAC:17816827	0	3.2117346173740993	1
PAC:17816829	-1.6713923619120816	3.2670029925171433	0.5000000000000385
PAC:17816830	0.9416720302147876	4.8425349687593995	0.2831591864578595
PAC:17816834	0.6353925952179184	3.4931726800424405	1
PAC:17816835	-0.09073868531488329	5.1631135887772786	0.8820141469475892
PAC:17816836	-0.12625210750761928	3.3774851133526957	1
PAC:17816837	0.970295071742177	3.2699117472084214	1
PAC:17816838	-1.015896302063811	3.615773367855255	0.5035317500780895
PAC:17816839	-0.5381193824381454	3.706738812682411	0.7976062086531865
PAC:17816840	-0.5601851745527074	4.381050663386378	0.5068593649278822
PAC:17816841	3.325289573327629	3.698416931688447	0.20747101155475672
PAC:17816842	-0.701089145874372	3.3232359666184084	0.8748923065805891
PAC:17816843	-1.3350088280649668	3.5733674795573416	0.40621287483593427
PAC:17816844	-1.3130965826109973	3.482563662732548	0.3077840325583032
PAC:17816845	0	3.2117346173740993	1
PAC:17816848	0.28109661572746353	3.434200223402643	1
PAC:17816849	0	3.2117346173740993	1
PAC:17816850	-1.3733758080532166	3.4754483197393924	0.22055937145038199
PAC:17816851	0	3.2117346173740993	1
PAC:17816852	-0.9905374630272515	3.625868890606585	0.6609274644359472
PAC:17816853	0.9702851696221103	3.269620298482921	1
PAC:17816864	0	3.2117346173740993	1
PAC:17816865	-2.6101202654634967	4.799079462363274	1.4467017378432373e-5
PAC:17816867	0.970304997224154	3.2702069149514985	1
PAC:17816868	0	3.2117346173740993	1
PAC:17816875	0	3.2117346173740993	1
PAC:17816877	1.9551997888306096	3.3823802976326767	0.8439922792749863
PAC:17816878	0	3.2117346173740993	1
PAC:17816879	-0.35472359865720343	3.745375287944114	0.9305081195519985
PAC:17816881	-1.4717859688832147	3.37418440935483	0.3772021308279751
PAC:17816882	0	3.2117346173740993	1
PAC:17816883	0	3.2117346173740993	1
PAC:17816884	0	3.2117346173740993	1
PAC:17816885	-0.19035315123358257	10.237617485611773	0.27758328422714473
PAC:17816886	0	3.2117346173740993	1
PAC:17816887	0	3.2117346173740993	1
PAC:17816890	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816892	2.2530628338272956	3.434130231320821	0.6818022670062457
PAC:17816895	0	3.2117346173740993	1
PAC:17816899	-2.918342165955358	3.372051256934267	0.03282091079038733
PAC:17816905	-0.10845596225390791	5.294694845909411	0.9266378568004794
PAC:17816906	-0.1675019783130662	3.6646136438180146	1
PAC:17816907	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816908	-1.443750348331554	3.376415684797132	0.38242728904989576
PAC:17816909	0.5361613969140203	3.478837525389223	1
PAC:17816910	0.30520754792334304	4.6849196272030795	0.7384888021853439
PAC:17816911	1.5452332997340419	3.3276596098341735	1
PAC:17816912	0	3.2117346173740993	1
PAC:17816913	-0.7019915100465618	3.325960943183775	0.8670164843101591
PAC:17816914	-2.9183155982730957	3.372031085551821	0.03283373000125537
PAC:17816915	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816916	0	3.2117346173740993	1
PAC:17816917	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816918	0	3.2117346173740993	1
PAC:17816919	0.592167768991207	3.4857816802764146	1
PAC:17816920	0	3.2117346173740993	1
PAC:17816922	0.9714124034149124	3.2724960310882647	1
PAC:17816923	0.9702851696221103	3.269620298482921	1
PAC:17816924	-2.0514126798747543	6.604951285715453	6.684057150629903e-6
PAC:17816926	-1.3768988696731923	3.4763358428132975	0.22183017637959193
PAC:17816927	0.29044274412711346	3.440470135865429	1
PAC:17816928	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816929	-1.4757914805327266	3.3739376839471826	0.37637380670792786
PAC:17816930	0	3.2117346173740993	1
PAC:17816932	-0.5070031645904666	8.797989177981677	0.16521856703737134
PAC:17816934	1.4831004011507913	3.3263725158076736	1
PAC:17816937	-0.1252218152286858	3.381390521082585	1
PAC:17816938	0	3.2117346173740993	1
PAC:17816941	-2.425071430538144	3.320565916202648	0.1251076934194418
PAC:17816942	0	3.2117346173740993	1
PAC:17816943	0.44350896046559696	4.921207741739052	0.669615648602204
PAC:17816944	0	3.2117346173740993	1
PAC:17816945	3.974887720256654	3.9498581602591565	0.07130970390890067
PAC:17816946	2.5352642213921506	3.4931951699483443	0.4750635979289931
PAC:17816947	0	3.2117346173740993	1
PAC:17816948	1.5452531177247064	3.3282385876724385	1
PAC:17816949	-0.13208979920890604	5.372087752969986	0.8159771582458758
PAC:17816950	-1.4546928109079658	3.376913824737509	0.31266147829162927
PAC:17816951	0.8760254663795848	3.5424376472155115	0.9160585459093176
PAC:17816952	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816953	0.0022607471567613526	5.087738037077628	1
PAC:17816954	0	3.2117346173740993	1
PAC:17816955	-1.6713923619120816	3.2670029925171433	0.5000000000000385
PAC:17816956	-5.588922794051131	5.004627408189169	2.0098897078889104e-18
PAC:17816957	-1.6713923619120816	3.2670029925171433	0.5000000000000385
PAC:17816958	-1.454690154623295	3.376921359900049	0.31266147829162927
PAC:17816959	-1.4054545809123318	3.47277753999096	0.2959899321341104
PAC:17816960	1.5451622303221033	3.325502591675118	1
PAC:17816961	0	3.2117346173740993	1
PAC:17816962	0	3.2117346173740993	1
PAC:17816963	0.970304997224154	3.2702069149514985	1
PAC:17816964	1.5453882665680738	3.3305009566198556	1
PAC:17816965	0	3.2117346173740993	1
PAC:17816966	0	3.2117346173740993	1
PAC:17816968	-1.4757939483045863	3.3739376839471826	0.37638078961153143
PAC:17816969	0	3.2117346173740993	1
PAC:17816973	0	3.2117346173740993	1
PAC:17816978	-0.702255481251674	3.3255659814478	0.8698822243734526
PAC:17816979	-0.11166583662846695	3.3818165886968385	0.9901662044556291
PAC:17816984	0	3.2117346173740993	1
PAC:17816987	0	3.2117346173740993	1
PAC:17816988	-0.18995224044397527	3.90533365224315	0.9125419989537219
