Gene_Name	Direction_Differentially_Regulated
PAC:17817042	0
PAC:17817043	0
PAC:17817044	0
PAC:17817045	0
PAC:17817046	0
PAC:17817047	0
PAC:17817048	0
PAC:17817049	0
PAC:17817050	0
PAC:17817051	0
PAC:17817052	0
PAC:17817053	0
PAC:17817054	0
PAC:17817055	0
PAC:17817056	0
PAC:17817057	0
PAC:17817058	0
PAC:17817059	0
PAC:17817060	0
PAC:17817061	0
PAC:17817063	0
PAC:17817064	0
PAC:17817065	0
PAC:17817066	0
PAC:17817067	0
PAC:17817069	0
PAC:17817070	0
PAC:17817071	0
PAC:17817072	1
PAC:17817073	0
PAC:17817074	0
PAC:17817075	0
PAC:17817076	0
PAC:17817077	0
PAC:17817078	0
PAC:17817080	0
PAC:17817081	0
PAC:17817082	0
PAC:17817083	0
PAC:17817084	0
PAC:17817085	0
PAC:17817087	0
PAC:17817088	0
PAC:17817089	0
PAC:17817090	0
PAC:17817091	0
PAC:17817094	0
PAC:17817099	0
PAC:17817103	0
PAC:17817104	0
PAC:17817105	0
PAC:17817108	0
PAC:17817109	0
PAC:17817110	0
PAC:17817112	0
PAC:17817113	0
PAC:17817114	0
PAC:17817115	0
PAC:17817116	0
PAC:17817117	0
PAC:17817118	0
PAC:17817119	0
PAC:17817120	0
PAC:17817121	0
PAC:17817122	0
PAC:17817123	0
PAC:17817124	0
PAC:17817126	0
PAC:17817131	0
PAC:17817132	0
PAC:17817133	0
PAC:17817134	0
PAC:17817135	0
PAC:17817136	0
PAC:17817137	0
PAC:17817138	0
PAC:17817139	0
PAC:17817140	0
PAC:17817141	0
PAC:17817142	0
PAC:17817143	0
PAC:17817144	0
PAC:17817145	0
PAC:17817146	0
PAC:17817147	0
PAC:17817148	0
PAC:17817149	0
PAC:17817150	0
PAC:17817151	0
PAC:17817155	0
PAC:17817156	0
PAC:17817157	0
PAC:17817158	0
PAC:17817159	0
PAC:17817160	0
PAC:17817161	0
PAC:17817162	0
PAC:17817163	0
PAC:17817164	0
PAC:17817165	0
PAC:17817166	0
PAC:17817168	0
PAC:17817169	0
PAC:17817170	0
PAC:17817171	0
PAC:17817173	0
PAC:17817175	0
PAC:17817177	0
PAC:17817178	0
PAC:17817179	0
PAC:17817180	0
PAC:17817181	0
PAC:17817182	0
PAC:17817183	0
PAC:17817184	0
PAC:17817185	0
PAC:17817186	0
PAC:17817187	0
PAC:17817188	0
PAC:17817190	0
